Complex Name,Street Address,Min Price,Max Price,Types Available,Square Footage,Primary Image URL,Phone Number
The Uncommon Apartments,900-916 E Fayette St Syracuse NY 13210,1400,2200,1-2 Beds,,https://images1.apartments.com/i2/M2kJ1bCiPueOSgmXphHwcORxWvURyJ2VAbLo9zMPhqg/117/the-uncommon-apartments-syracuse-ny-one-bedroom-living-room.jpg?p=1,315-627-2547
The Treasury,101 S Salina St Syracuse NY 13202,1585,3961,Studio - 2 Beds,,https://images1.apartments.com/i2/9y8FwataXQrHue0MvXV6KMFtM6D6FyA3LBQfUPLDPGI/117/the-treasury-syracuse-ny-building-photo.jpg?p=1,680-220-4923
Deys Plaza Apartments,401 S Salina St Syracuse NY 13202,1650,3300,1-2 Beds,,https://images1.apartments.com/i2/v7mZwO_19kGekasqUop9m1SHJv7aaQ3OYzdInAa-kZE/117/deys-plaza-apartments-syracuse-ny-interior-photo.jpg?p=1,315-640-3067
Pike Block,300 S Salina St Syracuse NY 13202,1450,2050,1-2 Beds,,https://images1.apartments.com/i2/0uajzGk5mXFdCJcL8EICUJrgmKM-v3jhdBOQt54L30g/117/pike-block-syracuse-ny-building-photo.jpg?p=1,315-503-6197
The Laurel,311 Forman Ave Syracuse NY 13210,1129,2029,Studio - 4 Beds,,https://images1.apartments.com/i2/X3Y2mXXVOz6es8b-cbjQQXzyQuaGoklOf5ERWwsS_RA/117/the-laurel-syracuse-ny-building-photo.jpg?p=1,680-207-3597
Plaza Apartments,1108 E Genesee St Syracuse NY 13210,1045,1345,Studio - 2 Beds,,https://images1.apartments.com/i2/tkbENRTgTDfq9tBp9A3zcN0sSwTPgofGvWI9ho4C9gM/117/plaza-apartments-syracuse-ny-building-photo.jpg?p=1,315-350-3090
502 University Apartments,502 University Ave Syracuse NY 13210,1095,1295,1-2 Beds,,https://images1.apartments.com/i2/SYStnlnB3250vpP4hc8vBJR-vDzAgJiIeecAf7jZjqc/117/502-university-apartments-syracuse-ny-building-photo.jpg?p=1,315-470-2293
The 505 on Walnut,505 Walnut Ave Syracuse NY 13210,1560,2485,Studio - 4 Beds,,https://images1.apartments.com/i2/iO-0GTF4h-ErPrZEDEL_EdmvkRFkCJocBAa6T-apURw/117/the-505-on-walnut-syracuse-ny-interior-photo.jpg?p=1,315-627-2602
Franklin View Terrace,210 W Division St Syracuse NY 13204,1600,3000,1-2 Beds,,https://images1.apartments.com/i2/wRPR3zTly4shyPVZZzILPn11tSzyi60MO_lRTuZqXeY/117/franklin-view-terrace-syracuse-ny-interior-photo.jpg?p=1,315-915-2046
1817 Burnet Ave,1817 Burnet Ave Syracuse NY 13206,1395,1645,1-2 Beds,,https://images1.apartments.com/i2/813qJ0rXm6Y_rcZD9YEfdXWBp22RiBUwDALT0ISuvu0/117/1817-burnet-ave-syracuse-ny-interior-photo.jpg?p=1,315-703-1708
The Grange Building & GrangeX,203-215 E Water St Syracuse NY 13202,2150,2500,2 Beds,,https://images1.apartments.com/i2/8Cjf7jhm7pN_pvuJ88mH4-qKyB474p74La2aE4hLPok/117/the-grange-building-grangex-syracuse-ny-building-photo.jpg?p=1,315-627-2599
Lakefront Lofts,667 N Clinton St Syracuse NY 13204,1995,1995,2 Beds,,https://images1.apartments.com/i2/_uYT1akUE9lF-jjOsaITMmBv8BD1RM9gKdYh_FMbHc4/117/lakefront-lofts-syracuse-ny-building-photo.jpg?p=1,315-930-0565
Merrell-Soule Lofts,600 N Franklin St Syracuse NY 13204,2000,2000,2 Beds,,https://images1.apartments.com/i2/nKfLVMlsHeifwneRVXPniJXdHv7Vir3GaJXVfiEhsHA/117/merrell-soule-lofts-syracuse-ny-building-photo.jpg?p=1,315-505-4237
Lofts on Willow,230 W Willow St Syracuse NY 13202,1325,1325,1 Bed,,https://images1.apartments.com/i2/n70B0Yc9Z_kZ7ha4A5Aj6680yTuMV5UE2yYwNwJh_z0/117/lofts-on-willow-syracuse-ny-building-photo.jpg?p=1,914-743-3814
Clinton Street Commons Apartments,721 N Clinton St Syracuse NY 13204,1550,2200,2-3 Beds,,https://images1.apartments.com/i2/Wt7_rz_kxj4yWM5IkpVU74hDNoirLyJrU9D0dSaI9Hg/117/clinton-street-commons-apartments-syracuse-ny-interior-photo.jpg?p=1,315-627-2622
Creekwalk Commons,324 W Water St Syracuse NY 13202,1950,2400,2 Beds,,https://images1.apartments.com/i2/KVtmi3c0fSAnwreG5Ws5-H8S0zDHJB5gaLxOwtVrcZY/117/creekwalk-commons-syracuse-ny-building-photo.jpg?p=1,315-627-2863
Icon Tower,344 S Warren St Syracuse NY 13202,1400,2895,1-2 Beds,,https://images1.apartments.com/i2/PpkgcJMCKEKz7scqdfradhqB9IlnHzCdbrMacA0S8FQ/117/icon-tower-syracuse-ny-welcome-to-icon-tower.jpg?p=1,315-627-2733
Symphony Place,111 W Onondaga St Syracuse NY 13204,1650,3000,1-2 Beds,,https://images1.apartments.com/i2/cl5GbEtc-ewqoWVUkTDoqxSrtBg1XIXNYkDDjMWdfEw/117/symphony-place-syracuse-ny-interior-photo.jpg?p=1,315-470-2218
Greenway Place,200-204 Hawley Ave Syracuse NY 13203,1095,1450,1-2 Beds,,https://images1.apartments.com/i2/AZq2kHvkxMRWseJ59FCtB-Mv3GGys_hlSij-DlNiAI4/117/greenway-place-syracuse-ny-building-photo.jpg?p=1,680-220-4312
Sunnycrest Manor,607 Robinson Ave Syracuse NY 13206,1095,1095,2 Beds,,https://images1.apartments.com/i2/3v5e1Dv9CWEzByzzZGFa36jWmVuHgLiT98wNqs32iD0/117/sunnycrest-manor-syracuse-ny-interior-photo.jpg?p=1,680-220-4567
The Tallman Block,219 W Fayette St Syracuse NY 13202,1200,1600,Studio - 1 Bed,,https://images1.apartments.com/i2/A_Hmrg4kjYe-U1LFMqfdIPqcKwEcY2Ir8m2FgkmJ8aI/117/the-tallman-block-syracuse-ny-building-photo.jpg?p=1,315-756-2903
Hudson Lofts,239-245 W Fayette St Syracuse NY 13202,1100,2495,Studio - 2 Beds,,https://images1.apartments.com/i2/1b6f5JZOSjfYGqvP55xIlbInYIljG5FKw6ccLNx0SkY/117/hudson-lofts-syracuse-ny-interior-photo.jpg?p=1,845-284-9531
Nettleton Commons Apartments,313 E Willow St Syracuse NY 13203,1100,1600,1-2 Beds,,https://images1.apartments.com/i2/eSm9QEs5ZpgCsb4XNkAiKN1IMnW00YPouDK6dSdg04U/117/nettleton-commons-apartments-syracuse-ny-living-room.jpg?p=1,315-627-2590
Kasson Place,615 James St Syracuse NY 13203,960,1450,Studio - 2 Beds,,https://images1.apartments.com/i2/eu-B6cwhpzEw9C7vMilyFpsP0UkTmvyOIU3H8A8CwQ4/117/kasson-place-syracuse-ny-615--2br-1ba.jpg?p=1,315-627-2776
Corbett Corner,444 E Genesee St Syracuse NY 13202,950,1400,Studio - 1 Bed,,https://images1.apartments.com/i2/BDx5OC9dWbvNFsd_Z2UbyQmpJ7I8momEG5Z6zDMbvf0/117/corbett-corner-syracuse-ny-building-photo.jpg?p=1,315-915-2008
Carrington Heights Apartments,1855 Burnet Ave Syracuse NY 13206,750,750,Studio,,https://images1.apartments.com/i2/WPypb0r4zhxWJbstH18iGJA8BuofcSarRFnDrZVMquw/117/carrington-heights-apartments-syracuse-ny-carrington-heights.jpg?p=1,914-743-3495
JJN Properties at Polk Street,162 Polk St Syracuse NY 13224,805,1300,Studio - 2 Beds,,https://images1.apartments.com/i2/Ws0d98lY16EVQHMk3vw9HUpgTp6Ba-1kagTOwAcBtec/117/jjn-properties-at-polk-street-syracuse-ny-polk-street-court-yard.jpg?p=1,315-627-2545
Briarcliff Estates,300-301 Audubon Pky Syracuse NY 13224,1195,1595,1-2 Beds,,https://images1.apartments.com/i2/WD3Y_r4eQh7Mm1_RuXWWtnETDZ1zC8SKsDMBP8BfJ10/117/briarcliff-estates-syracuse-ny-interior-photo.jpg?p=1,315-627-2670Swiss Village Apartments,99 Alpine Dr Syracuse NY 13214,925,995,1 Bed,,https://images1.apartments.com/i2/2AKQcvOyP-9i5pjnDPIrlN9ybG5abZs2BFZbQbMB_rE/117/swiss-village-apartments-syracuse-ny-2018-upgraded-kitchen.jpg?p=1,315-930-1169
Oak Knitting Mill,102 W Division St Syracuse NY 13204,1700,1850,1 Bed,,https://images1.apartments.com/i2/JcxWM0DZXNqmYNEreUJw70We2KwpuYSQtd4mzhML6mc/117/oak-knitting-mill-syracuse-ny-building-photo.jpg?p=1,
538 Erie Blvd W,538 Erie Blvd W Syracuse NY 13204,2200,2200,2 Beds,,https://images1.apartments.com/i2/O-0dIXPxV4hRqaxJD3FQdU3yl3OkBUyIjTTwsJZ-8d4/117/538-erie-blvd-w-syracuse-ny-interior-photo.jpg?p=1,
Addis Building,449-453 S Salina St Syracuse NY 13202,1600,1600,1 Bed,,https://images1.apartments.com/i2/gNmUmJS0yqrxKGq4CIrcv1eOLVFPLMbvT2aosVWFMRM/117/addis-building-syracuse-ny-interior-photo.jpg?p=1,
719 E Genesee St,719 E Genesee St Syracuse NY 13210,3200,4200,3-4 Beds,,https://images1.apartments.com/i2/i3YnXDEH71gAxmEwjnsYoe7MU0NCcGj4lXEHniSM22c/117/719-e-genesee-st-syracuse-ny-building-photo.jpg?p=1,
The Wood Building,205 E Jefferson St Syracuse NY 13202,2500,2500,2 Beds,,https://images1.apartments.com/i2/9s43iMwBYg9-uvMhRr_wUUIKxc2cSK07v8x49lWXYgA/117/the-wood-building-syracuse-ny-interior-photo.jpg?p=1,
790 Canal St,790 Canal St Syracuse NY 13210,1675,1675,2 Beds,,https://images1.apartments.com/i2/Yx3Jbm5H6y56zdFhoECboL4y8h2sSaNxDheR37A2MCo/117/790-canal-st-syracuse-ny-building-photo.jpg?p=1,
Skyler Commons,908 Harrison St Syracuse NY 13210,1650,1660,Studio,,https://images1.apartments.com/i2/aaIRNtnHeUcZrxXSQllp3fG1rsUKJax9bEXv5wU5KDk/117/skyler-commons-syracuse-ny-building-photo.jpg?p=1,
Herald Commons Apartments,220 Herald Pl Syracuse NY 13202,1700,3200,1-2 Beds,,https://images1.apartments.com/i2/5v1xYocoBtlbUUnvPFO1fY_2o2Mm-r3CZj9eYf3WHfQ/117/herald-commons-apartments-syracuse-ny-building-photo.jpg?p=1,
Jefferson Tower,50 Presidential Plz Syracuse NY 13202,1850,2030,2-3 Beds,,https://images1.apartments.com/i2/8KrK2hT7huYf7Oo7ejVeocpn7Yl7EIKUw1ZNf5Bu-8g/117/jefferson-tower-syracuse-ny-building-photo.png?p=1,
Merchants Commons,220 S Warren St Syracuse NY 13202,1695,1735,1 Bed,,https://images1.apartments.com/i2/JJV39Iu-aBanlky1Zwrg-zNzC-pwP7lfjqPdFHiCy1g/117/merchants-commons-syracuse-ny-unit-photo.jpg?p=1,
Commodore Apartments,1505 E Genesee St Syracuse NY 13210,1200,1650,Studio - 1 Bed,,https://images1.apartments.com/i2/EEP9I58j-Ny6kfG9-yiELGQxr8wrmXsjQ704r-ySzrs/117/commodore-apartments-syracuse-ny-building-photo.jpg?p=1,
1009 Madison St,1009 Madison St Syracuse NY 13210,1495,1895,1 Bed,,https://images1.apartments.com/i2/_eZJyfmY-9bZQQKYQtJnZtWy2NhG-Q9BnYpKnyia_qQ/117/1009-madison-st-syracuse-ny-apt-6.jpg?p=1,
Copper Beech Commons,300 University Ave Syracuse NY 13210,950,1250,2-4 Beds,,https://images1.apartments.com/i2/U12PngLNQ-T_e-FUedWQp_oBXyT9juil-wALw1EZuWI/117/copper-beech-commons-syracuse-ny-building-photo.jpg?p=1,
Lifestyle Apartments at Syracuse,941-947 James St Syracuse NY 13203,1000,1258,Studio - 1 Bed,,https://images1.apartments.com/i2/P_AwAmoV8o0mR3-FF3Yue9FDVEEVOLtBrraAQKPj_ZA/117/lifestyle-apartments-at-syracuse-syracuse-ny-aerial.jpg?p=1,
Lofts at Franklin Square,525 Plum St Syracuse NY 13204,1550,1550,1 Bed,,https://images1.apartments.com/i2/2_Dk7U4u7vCkTx5RueZ9Cmbv66XW4BsaKpacecJi3CQ/117/lofts-at-franklin-square-syracuse-ny-building-photo.png?p=1,
Salt City Market Apartments,484 S Salina St Syracuse NY 13202,1300,1600,1 Bed,,https://images1.apartments.com/i2/h3jdA_qczCcLhtkaMONduZdSWFv95VdVNjtwoTaGrLg/117/salt-city-market-apartments-syracuse-ny-building-photo.jpg?p=1,
One Franklin Square,460 N Franklin St Syracuse NY 13204,1100,1733,1-2 Beds,,https://images1.apartments.com/i2/3lPdH2g4nucPbM4TDc0w9aJ_NCcT_Wx2sUZQH14-Ff0/117/one-franklin-square-syracuse-ny-building-photo.jpg?p=1,
Hawley Green,307-315 Hawley Ave Syracuse NY 13203,950,1115,Studio - 1 Bed,,https://images1.apartments.com/i2/aesvAKQhlpJEjpVB8uNoyXZPma-Ik-3rnuYJuiKtNnc/117/hawley-green-syracuse-ny-building-photo.jpg?p=1,
The 214,214 W Jefferson St Syracuse NY 13202,1475,2200,1-2 Beds,,https://images1.apartments.com/i2/3lLSFQuJdrL4bzm5-n06giQmblFNw_OvbUQhjbRm7go/117/the-214-syracuse-ny-building-photo.jpg?p=1,
Madison Towers,601 S Townsend St Syracuse NY 13202,1293,1315,2 Beds,,https://images1.apartments.com/i2/po436cR2j6hsqq2_vpfwEokj5O6FrHizW_h0eo1oPDw/117/madison-towers-syracuse-ny-building-photo.jpg?p=1,
407 Wilkinson St,407 Wilkinson St Syracuse NY 13204,1100,1100,2 Beds,,https://images1.apartments.com/i2/bt5sMwsc-5qHQFM5zqBwzar-nyZ8FrLIdDUb5ugq8bE/117/407-wilkinson-st-syracuse-ny-building-photo.jpg?p=1,
James Crest Manor,1072 James St Syracuse NY 13203,775,1195,Studio - 2 Beds,,https://images1.apartments.com/i2/gwq4DeBiBBzSyCFP-VW9QcUZ87IivnN54a6gkTRwCnU/117/james-crest-manor-syracuse-ny-building-photo.jpg?p=1,
East Towne Apartments,2913-2921 Burnet Ave Syracuse NY 13206,800,1050,Studio - 1 Bed,,https://images1.apartments.com/i2/60bvs51n2W2LDF7U1IDPvUWr5Ri23pLy8kFSsV2h15Y/117/east-towne-apartments-syracuse-ny-building-photo.jpg?p=1,
Brownstone Luxury Studio Apartments,605 W Genesee St Syracuse NY 13204,800,800,Studio,,https://images1.apartments.com/i2/-MAa1n53FYD4lQWxG8xn2mUtiTPDUw4FXChJsB9RJQE/117/brownstone-luxury-studio-apartments-syracuse-ny-building-photo.jpg?p=1,
Arbor Heights Apartments,211-213 Beattie St Syracuse NY 13224,1095,1345,1-2 Beds,,https://images1.apartments.com/i2/FmwpwN3LK5W0HwmjjzHAPc-n42MawS-GGTwMVmAs2j8/117/arbor-heights-apartments-syracuse-ny-building-photo.jpg?p=1,
Courtyard at James,708 James St Syracuse NY 13203,712,920,Studio - 2 Beds,,https://images1.apartments.com/i2/rgzhyPOY1HaU7hhi40tHlhJvpZeWUV0YvQpp7r2zcEo/117/courtyard-at-james-syracuse-ny-building-photo.jpg?p=1,
311 Ontario St,311 Ontario St Unit Apt. B Syracuse NY 13204,1950,1950,2 Beds 1 Bath,,https://images1.apartments.com/i2/6Z3mJttZxSEr6vzr6NByDaPueuD-VcyuS6dgUJalMlg/117/311-ontario-st-unit-apt-b-syracuse-ny-building-photo.jpg?p=1,315-313-4220
400 Butternut St Unit 2D,400 Butternut St Unit 2D Syracuse NY 13208,1900,1900,2 Beds 2 Baths,1155,https://images1.apartments.com/i2/PDAeBu5YcQfu46RMQk_ke7QfAn2Ioa1551j_SbDynDw/117/400-butternut-st-unit-2d-syracuse-ny-building-photo.jpg?p=1,680-207-3943
333 Wilson St,333 Wilson St Syracuse NY 13203,1950,1950,3 Beds 2 Baths,2000,https://images1.apartments.com/i2/-nph7kLIjBXXcyrJ88Ml36m_eVH0lwW3q5P6aYwpgmA/117/333-wilson-st-syracuse-ny-building-photo.jpg?p=1,315-214-1001
400 Butternut St Unit 4C,400 Butternut St Unit 4C Syracuse NY 13208,1900,1900,2 Beds 2 Baths,1102,https://images1.apartments.com/i2/PDAeBu5YcQfu46RMQk_ke7QfAn2Ioa1551j_SbDynDw/117/400-butternut-st-unit-4c-syracuse-ny-building-photo.jpg?p=1,315-640-4378
237 Croly St Unit 4,237 Croly St Unit 4 Syracuse NY 13224,1100,1100,2 Beds 1 Bath,711,https://images1.apartments.com/i2/KyyvsKwr6lOZldA1ZjRNnU2l_nv5k2CPs-byyTsuv7Y/117/237-croly-st-unit-4-syracuse-ny-building-photo.jpg?p=1,315-666-3885
790 Canal St Unit 1,790 Canal St Unit 1 Syracuse NY 13210,1675,1675,2 Beds 1 Bath,860,https://images1.apartments.com/i2/RWimaRkDyLBXXLi8Jo0AelOHoKPtju78OGWabD6zvY8/117/790-canal-st-unit-1-syracuse-ny-building-photo.jpg?p=1,315-470-3249
123 Gorland Ave,123 Gorland Ave Unit 123 Gorland Avenue Syracuse NY 13224,1750,1750,3 Beds 1 Bath,1400,https://images1.apartments.com/i2/fA7lO1HFumjl0DBU19DxbFPxyWJzyCl4QJk9rTqylLY/117/123-gorland-ave-unit-123-gorland-avenue-syracuse-ny-building-photo.jpg?p=1,315-864-9787
517-1 Stafford Ave,517-1 Stafford Ave Unit Stafford Ave 1st Flr Syracuse NY 13206,1250,1250,1 Bed 1 Bath,800,https://images1.apartments.com/i2/JcyW_4gctDSjQvTczQjrM0c2hAPQw9TaERdZHwCvJwc/117/517-1-stafford-ave-unit-stafford-ave-1st-flr-syracuse-ny-building-photo.jpg?p=1,
275 Fellows Ave,275 Fellows Ave Syracuse NY 13210,2600,2600,4 Beds 1.5 Baths,2200,https://images1.apartments.com/i2/vlehKqNi7TgdiScgHr-Vhuo2dLCTL5d6imJANi6vT6k/117/275-fellows-ave-syracuse-ny-917 Madison St,917 Madison St Syracuse NY 13210,2100,2100,2 Beds 1 Bath,976,https://images1.apartments.com/i2/9WoQwbnn6c-NJeaSmdSVDyqrhDmT0mt6jI2pw8ROz1w/117/917-madison-st-syracuse-ny-building-photo.jpg?p=1,315-569-6045
108 W Jefferson St,108 W Jefferson St Syracuse NY 13202,1900,1900,1 Bed 1 Bath,959,https://images1.apartments.com/i2/S3N_VN9QRg18V1eC35LNZnSWkp7jI5cClGrErwoHg1c/117/108-w-jefferson-st-syracuse-ny-building-photo.jpg?p=1,315-396-0493
408 E Laurel St,408 E Laurel St Syracuse NY 13203,1395,1895,1-3 Beds 1 Bath,,https://images1.apartments.com/i2/NzPuKah_noa8AKLGFR2rErSH-Dpi01nfSBJW-6-BEfA/117/408-e-laurel-st-syracuse-ny-building-photo.jpg?p=1,315-640-4007
526 Plum St,526 Plum St Syracuse NY 13204,2900,2900,2 Beds 2 Baths,1066,https://images1.apartments.com/i2/LS2sMoHGMl3wfXvJYFZIjBZ1xG5damAS6k2jtm0CoRc/117/526-plum-st-syracuse-ny-building-photo.jpg?p=1,315-701-6900
435 S Warren St,435 S Warren St Syracuse NY 13202,3400,3400,1 Bed 2 Baths,3800,https://images1.apartments.com/i2/QHhul8O6Z9-1NfakBOUutvyusWovpL4-lQGjc5ABKpw/117/435-s-warren-st-syracuse-ny-building-photo.jpg?p=1,315-560-2656
510 Greenwood Pl,510 Greenwood Pl Syracuse NY 13210,1500,1500,2 Beds 1.5 Baths,1218,https://images1.apartments.com/i2/ieb57zvdES-ToCU-ok2-38DhGscs2-okmDEFTE4_TBQ/117/510-greenwood-pl-syracuse-ny-building-photo.jpg?p=1,315-430-2364
330 Hawley Ave,330 Hawley Ave Syracuse NY 13203,995,995,1 Bed 1 Bath,,https://images1.apartments.com/i2/-GfI6Q1AtBvCuiaKEX4IE1T2ZcNeoM3butOmo6PduzU/117/330-hawley-ave-syracuse-ny-building-photo.jpg?p=1,315-345-5545
412 S Beech St,412 S Beech St Syracuse NY 13210,700,700,1 Bed 1.5 Baths,1248,https://images1.apartments.com/i2/A21iDs_NyYQGH_YlzDRKcgJ__F5E1MXEgQxA-6l1gXc/117/412-s-beech-st-syracuse-ny-building-photo.jpg?p=1,315-396-0493
1317 Madison St,1317 Madison St Syracuse NY 13210,1700,1700,3 Beds 1 Bath,3280,https://images1.apartments.com/i2/KT0akYtu_XIfrTs0e8Ssdn9yQeCGy0zv8rKONfsbKIQ/117/1317-madison-st-syracuse-ny-building-photo.jpg?p=1,315-396-0493
569 Westmoreland Ave,569 Westmoreland Ave Unit Westmoreland 569.1 Syracuse NY 13210,1400,1400,3 Beds 1 Bath,1262,https://images1.apartments.com/i2/gR3SyPIGaoGF1LK2fZPulvNtMBAG0RHjNNzOBin_s-o/115/569-westmoreland-ave-unit-westmoreland-5691-syracuse-ny-building-photo.jpg?p=1,
118 Dell St,118 Dell St Unit Dell 118.1 Syracuse NY 13210,1400,1400,3 Beds 1 Bath,1046,https://images1.apartments.com/i2/-YgqjDXjQ5C0aegxdgMqUpzvREcEA8qor5xMTWLZrPM/115/118-dell-st-unit-dell-1181-syracuse-ny-building-photo.jpg?p=1,
715 S Beech St,715 S Beech St Unit Beech 715.1 Syracuse NY 13210,1000,1000,2 Beds 1 Bath,1049,https://images1.apartments.com/i2/5EccEQpscV6GSvH1XI554H90-iPlj0sY3JjfT6JLTf4/115/715-s-beech-st-unit-beech-7151-syracuse-ny-building-photo.jpg?p=1,
1009 Euclid Ave,1009 Euclid Ave Unit 1011 Syracuse NY 13210,1350,1350,3 Beds 1 Bath,1310,https://images1.apartments.com/i2/4wg9V74NXU3fHdFELWxI_cWegCm78bH2BGWBhyXvdaI/115/1009-euclid-ave-unit-1011-syracuse-ny-building-photo.jpg?p=1,
147-149 Fellows Ave,147-149 Fellows Ave Unit Fellows 149 Syracuse NY 13210,1400,1400,3 Beds 1 Bath,1248,https://images1.apartments.com/i2/0VWF8zCJy2_n_Hpof9Sm2t45tWUPLuaLlnn6XkZdRX4/115/147-149-fellows-ave-unit-fellows-149-syracuse-ny-building-photo.jpg?p=1,
115 E Jefferson St,115 E Jefferson St Unit Apartment Syracuse NY 13202,2500,2500,2 Beds 2.5 Baths,2200,https://images1.apartments.com/i2/t6VzgMkdF-XouV6Yt5Mm0YqCxK-1TQOy56TK-PKak30/115/115-e-jefferson-st-unit-apartment-syracuse-ny-building-photo.jpg?p=1,
750-52 Allen St,750-52 Allen St Unit 752 Syracuse NY 13210,1250,1250,2 Beds 1 Bath,992,https://images1.apartments.com/i2/t0ssDOEYf4a2JQUTc5VLsgwRmLzfe9BQWhmKxa1x_KA/115/750-52-allen-st-unit-752-syracuse-ny-building-photo.jpg?p=1,
123 Dell St Unit 1F,123 Dell St Unit 1F Syracuse NY 13210,1450,1450,3 Beds 1 Bath,1396,https://images1.apartments.com/i2/pZJt1G5Zo9s8zd3UcDWqv-tHWCAc32N6MWDCmnqZuMs/115/123-dell-st-unit-dell-1231f-syracuse-ny-building-photo.jpg?p=1,
123 Dell St Unit 1R,123 Dell St Unit 1R Syracuse NY 13210,800,800,1 Bed 1 Bath,352,https://images1.apartments.com/i2/5V_RFhmb1z20l0Xkz2Q2CK-G0fRgk3C_JOEkeIV_ZiA/115/123-dell-st-unit-dell-1231r-syracuse-ny-building-photo.jpg?p=1,
556-558 Columbus Ave,556-558 Columbus Ave Unit Columbus 558 Syracuse NY 13210,1400,1400,3 Beds 1 Bath,1184,https://images1.apartments.com/i2/NYXgxDC098QzPTw-ExxUiXv84jn6CivjibPLTKvUcJQ/115/556-558-columbus-ave-unit-columbus-558-syracuse-ny-building-photo.jpg?p=1,
229-231 Fellows Ave,229-231 Fellows Ave Unit Fellows 231 Syracuse NY 13210,1400,1400,3 Beds 1 Bath,1320,https://images1.apartments.com/i2/dXBCx8SBw1Q-a0hWviGOm5whI5KrlTCVjYPqvsC8iNU/115/229-231-fellows-ave-unit-fellows-231-syracuse-ny-building-photo.jpg?p=1,
121 Doll Pkwy,121 Doll Pkwy Syracuse NY 13214,2800,2800,4 Beds 2 Baths,1400,https://images1.apartments.com/i2/1T23OCRMgzllYThwz60IFPWvaH0DM7_5UTqzl8jgEh8/115/121-doll-pkwy-syracuse-ny-building-photo.jpg?p=1,
108 W Jefferson St Unit 706,108 W Jefferson St Unit 108 W Jefferson 706 Syracuse NY 13202,1900,1900,1 Bed 1 Bath,,https://images1.apartments.com/i2/oEKSlco7TfQzUWufDqTuR865pK09_PkVjNyXbg9ASWk/115/108-w-jefferson-st-unit-108-w-jefferson-706-syracuse-ny-building-photo.jpg?p=1,
808 Teall Ave,808 Teall Ave Syracuse NY 13206,1750,1750,3 Beds 1 Bath,900,https://images1.apartments.com/i2/cq3BOwSYGpS0U-V40StNA91LL_6BY6HvgUOQaFbjJDE/115/808-teall-ave-syracuse-ny-building-photo.png?p=1,
